"conquistas_totais","nota_pessoal","genero","name","publisher","desenvolvedor","interesse","appid","tipo_cadastro","descricao","img_icon_url","playtime_forever","status","conquistas_obtidas","data_compra","horas_jogadas","target_finalizado","is_endless","log_playtime","playtime_narrative","log_playtime_narrative","genero_list","gen_","gen_Acesso Antecipado","gen_Aventura","gen_Ação","gen_Casual","gen_Corrida","gen_Esportes","gen_Estratégia","gen_Gratuitos para Jogar","gen_Indie","gen_Multijogador Massivo","gen_RPG","gen_Simulação"
0,0,"Ação, Casual, Indie, Multijogador Massivo, Esportes","Fall Guys",0,"Mediatonic","Médio",1097150,"Steam","Fall Guys é um jogo party royale gratuito, multiplataforma e multijogador. Dispute com seus amigos em pistas de obstáculos desajeitadas e absurdas ou construa seu próprio percurso caótico para compartilhar com a comunidade.","6c027709b9eb1417c993bc7d513b97b232002368",2315,"Abandonado",0,0,0,0,0,7.7475968386928855,2315,7.7475968386928855,"['Ação', 'Casual', 'Indie', 'Multijogador Massivo', 'Esportes']",0,0,0,1,1,0,1,0,0,1,1,0,0
0,0,"Ação, Aventura","Red Dead Redemption 2","Rockstar Games","Rockstar Games","Médio",1174180,"Steam","Arthur Morgan e a gangue Van der Linde são forçados a fugir. Com agentes federais e caçadores de recompensas no seu encalço, a gangue precisa roubar, assaltar e lutar para sobreviver no impiedoso coração dos Estados Unidos.","5106abd9c1187a97f23295a0ba9470c94804ec6c",217,"Pausado",0,0,0,0,0,5.384495062789089,217,5.384495062789089,"['Ação', 'Aventura']",0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,"Aventura, Gratuitos para Jogar","Tell Me Why","Xbox Game Studios","DONTNOD Entertainment","Médio",1180660,"Steam","Tell Me Why é um jogo de aventura episódico altamente premiado da Dontnod Entertainment, em que dois gêmeos usam seu Laço sobrenatural para descobrir a verdade sobre o passado turbulento deles.","6eb40e6f71226ce5bea75601a1ec0f9d6f647dd1",0,"Não Iniciado",0,0,0,0,0,0.0,0,0.0,"['Aventura', 'Gratuitos para Jogar']",0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,"Ação","Resident Evil Village","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Médio",1196590,"Steam","Vivencie o horror de sobrevivência como nunca na 8ª sequência parte da franquia Resident Evil - Resident Evil Village. Com gráficos detalhados, ação intensa em primeira pessoa e uma narrativa primorosa, o terror nunca foi tão realista.","d97fb0681f9517c65a9d7ba9dd7e63f775375645",0,"Não Iniciado",0,0,0,0,0,0.0,0,0.0,"['Ação']",0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,"Ação","Resident Evil Re:Verse","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Médio",1236300,"Steam","Personagens famosos de Resident Evil se enfrentam em uma batalha até a morte! Teste suas habilidades contra outros jogadores em partidas mata-mata com seis pessoas.","eb2517104ec768ea3217ca875f94925bfcf3d7bb",2,"Não Iniciado",0,0,0,0,0,1.0986122886681096,2,1.0986122886681096,"['Ação']",0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,"Ação, RPG","ELDEN RING","FromSoftware, Inc., Bandai Namco Entertainment","FromSoftware, Inc.","Médio",1245620,"Steam","O NOVO RPG DE AÇÃO E FANTASIA. Levante-se, Maculado, e seja guiado pela graça para portar o poder do Anel Prístino e se tornar um Lorde Prístino nas Terras Intermédias.","b6e290dd5a92ce98f89089a207733c70c41a1871",19706,"Finalizado",0,0,0,1,0,9.888729181560583,19706,9.888729181560583,"['Ação', 'RPG']",0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,"Ação, Aventura, Indie, Simulação","Sons Of The Forest","Newnight ","Endnight Games Ltd","Médio",1326470,"Steam","Sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. Craft, build, and struggle to survive, alone or with friends, in this terrifying new open-world survival horror simulator.","bd28fe592b339cff5a3eef743f31e3166c984c68",0,"Não Iniciado",0,0,0,0,0,0.0,0,0.0,"['Ação', 'Aventura', 'Indie', 'Simulação']",0,0,1,1,0,0,0,0,0,1,0,0,1
0,0,"Ação, Aventura, RPG","God of War","PlayStation Publishing LLC","Santa Monica Studio, Jetpack Interactive","Médio",1593500,"Steam","Com a vingança contra os deuses do Olimpo em um passado distante, Kratos agora vive como um mortal no reino dos deuses e monstros nórdicos. É nesse mundo duro e implacável que ele deve lutar para sobreviver... e ensinar seu filho a fazer o mesmo.","8aa5e7e0e55cad682c7f2e65e075c3bc04dfc1cb",211,"Abandonado",0,0,0,0,0,5.356586274672012,211,5.356586274672012,"['Ação', 'Aventura', 'RPG']",0,0,1,1,0,0,0,0,0,0,0,1,0
0,0,"Ação, Aventura, Multijogador Massivo, RPG, Gratuitos para Jogar","Lost Ark","Amazon Games","Smilegate RPG","Médio",1599340,"Steam","Embarque numa odisseia pela Arca Perdida num mundo vasto e vibrante: explore novas terras, procure tesouros perdidos e teste-se num combate de ação emocionante neste RPG grátis para jogar. ","4e4ef2862189e1f1d3052125fb1ed6cb42bcaaf8",25,"Não Iniciado",0,0,0,0,0,3.258096538021482,25,3.258096538021482,"['Ação', 'Aventura', 'Multijogador Massivo', 'RPG', 'Gratuitos para Jogar']",0,0,1,1,0,0,0,0,1,0,1,1,0
0,0,"Ação, Aventura","Resident Evil 4","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Médio",2050650,"Steam","Sobrevivência é apenas o começo. Seis anos se passaram desde o desastre biológico em Raccoon City. Leon S. Kennedy, um dos sobreviventes, segue o rastro da raptada filha do presidente até uma vila europeia isolada, onde há algo terrivelmente errado com os habitantes.","817358b8013c55831ea10d031ef9c0b151110826",2540,"Finalizado",0,0,0,1,0,7.840312983320164,2540,7.840312983320164,"['Ação', 'Aventura']",0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,"Aventura","Little Nightmares Enhanced Edition","Bandai Namco Entertainment","Engine Software BV","Médio",2149010,"Steam","(Re)Descubra o conto sombrio e peculiar de Little Nightmares, agora contando com gráficos incríveis em 4K e 60 FPS. Jogue como Six, uma criança solitária presa na Bocarra, um imenso navio habitado por versões monstruosas e distorcidas de adultos.","6d1326d97decbaeddca21c14daa5041d464a1a63",0,"Não Iniciado",0,0,0,0,0,0.0,0,0.0,"['Aventura']",0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,"Ação, Aventura, RPG","Assassin's Creed Valhalla","Ubisoft","Ubisoft Montreal","Médio",2208920,"Steam","Assassin's Creed Valhalla é um jogo de ação e aventura em que você é um guerreiro viking que cresceu em meio a histórias de batalhas e glória. Explore um mundo aberto dinâmico, ambientado na Idade das Trevas na Inglaterra.","3946f91cf6beb0d384a85fc32d71616313dc362e",1310,"Abandonado",0,0,0,0,0,7.1785454837637,1310,7.1785454837637,"['Ação', 'Aventura', 'RPG']",0,0,1,1,0,0,0,0,0,0,0,1,0
0,0,"Indie, Simulação","Euro Truck Simulator 2","SCS Software","SCS Software","Médio",227300,"Steam","Viaje pela Europa como o rei da estrada, um caminhoneiro que entrega cargas importantes por distâncias impressionantes! Com dezenas de cidades para explorar, a sua resistência, habilidade e velocidade serão levadas ao limite.","adc18a4fc9adc0330144b76d61cbda68bb2394a0",1830,"Abandonado",0,0,0,0,0,7.5126175446745105,1830,7.5126175446745105,"['Indie', 'Simulação']",0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,"Ação, RPG","Diablo® IV","Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.","Médio",2344520,"Steam","Junte-se à luta por Santuário no Diablo® IV, a aventura suprema de RPG de ação. Vivencie a campanha aclamada pela crítica e os novos conteúdos de temporada.","15d3e861875701ec9b01f9d9b606c7c8379e6115",7472,"Finalizado",0,0,0,1,0,8.91905180393029,7472,8.91905180393029,"['Ação', 'RPG']",0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,"Ação","METAL GEAR RISING: REVENGEANCE","KONAMI","PlatinumGames","Médio",235460,"Steam","Developed by Kojima Productions and PlatinumGames, METAL GEAR RISING: REVENGEANCE takes the renowned METAL GEAR franchise into exciting new territory with an all-new action experience. The game seamlessly melds pure action and epic story-telling that surrounds Raiden – a child soldier transformed into a half-human, half-cyborg ninja who...","ad0f84fe48b57f3861b6c6d743f26b98d670c21f",1067,"Finalizado",0,0,0,1,0,6.97354301952014,1067,6.97354301952014,"['Ação']",0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,"Ação, Gratuitos para Jogar","Overwatch® 2","Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.","Médio",2357570,"Steam","Overwatch® 2 é um jogo de tiro em equipe aclamado pela crítica, ambientado em um futuro otimista com um elenco crescente de heróis. Jogue com seus amigos e entre agora mesmo!","da42bd294c941d5947b1bc2c2b2efa1313d36a91",630,"Abandonado",0,0,0,0,0,6.447305862541213,630,6.447305862541213,"['Ação', 'Gratuitos para Jogar']",0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,"Ação, Aventura, Indie, Simulação","The Forest","Endnight Games Ltd","Endnight Games Ltd","Médio",242760,"Steam","As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator.","3a6847f6ac5879e48531db52261771d5e22904ac",3961,"Jogando",0,0,0,0,0,8.284504227258497,3961,8.284504227258497,"['Ação', 'Aventura', 'Indie', 'Simulação']",0,0,1,1,0,0,0,0,0,1,0,0,1
0,0,"Ação, Aventura, Casual, Multijogador Massivo, RPG, Estratégia, Gratuitos para Jogar, Acesso Antecipado","SMITE 2","Hi-Rez Studios","Titan Forge Games","Médio",2437170,"Steam","Torne-se um deus e faça a guerra em SMITE 2, sequência do lendário MOBA de ação em 3a pessoa, agora em Unreal 5. Se gosta de competição, ação intensa, combate baseado em habilidades, trabalho em equipe ou mitologia divina, verá por que mais de 40 milhões de jogadores amam SMITE.","c2ac34cde358fca6c0a560943a8ab5ea47a65493",431,"Abandonado",0,0,0,0,0,6.068425588244111,431,6.068425588244111,"['Ação', 'Aventura', 'Casual', 'Multijogador Massivo', 'RPG', 'Estratégia', 'Gratuitos para Jogar', 'Acesso Antecipado']",0,1,1,1,1,0,0,1,1,0,1,1,0
0,0,"Ação","Battlefield™ 6","Electronic Arts","Battlefield Studios","Médio",2807960,"Steam","A experiência da guerra total definitiva. Em uma guerra de tanques, jatos e enormes arsenais de combate, seu pelotão é a arma mais mortal.","f07be1624106283c0d85e1bc9211d431caa9b4b8",171,"Não Iniciado",0,0,0,0,0,5.147494476813453,171,5.147494476813453,"['Ação']",0,0,0,1,0,0,0,0,0,0,0,0,0
